# Copyright 2020, General Electric Company. All rights reserved. See https://github.com/xcist/code/blob/master/LICENSE
# Spectrum is in unit: photons/cm^2/mAs at 1-m distance

180
0.500000,0.000000
1.000000,0.000000
1.500000,0.000000
2.000000,0.000000
2.500000,0.000000
3.000000,0.000000
3.500000,0.000000
4.000000,0.000000
4.500000,0.000000
5.000000,0.000000
5.500000,0.000000
6.000000,0.000000
6.500000,0.000000
7.000000,0.000000
7.500000,0.000000
8.000000,0.000000
8.500000,0.000000
9.000000,0.000000
9.500000,0.000000
10.000000,0.000000
10.500000,0.000000
11.000000,0.000000
11.500000,0.000000
12.000000,0.000000
12.500000,0.000000
13.000000,0.000000
13.500000,0.000000
14.000000,0.000000
14.500000,0.000000
15.000000,0.000000
15.500000,923.050889
16.000000,1505.176228
16.500000,1911.726004
17.000000,2308.050203
17.500000,2859.498812
18.000000,3731.421817
18.500000,5089.169205
19.000000,7098.090962
19.500000,9923.537076
20.000000,13730.857532
20.500000,18685.402317
21.000000,24952.521418
21.500000,32697.564820
22.000000,42085.882512
22.500000,53282.824479
23.000000,66453.740708
23.500000,81763.981186
24.000000,99378.895898
24.500000,119463.834833
25.000000,142184.147975
25.500000,167705.185312
26.000000,196192.296830
26.500000,227721.477157
27.000000,262011.299480
27.500000,298690.981629
28.000000,337389.741434
28.500000,377736.796722
29.000000,419361.365323
29.500000,461892.665066
30.000000,504959.913780
30.500000,548192.329295
31.000000,591219.129438
31.500000,633669.532040
32.000000,675172.754928
32.500000,715409.341748
33.000000,754265.139402
33.500000,791677.320610
34.000000,827583.058091
34.500000,861919.524562
35.000000,894623.892743
35.500000,925633.335353
36.000000,954885.025110
36.500000,982316.134732
37.000000,1007863.836939
37.500000,1031465.304450
38.000000,1053057.709982
38.500000,1072599.541949
39.000000,1090134.551537
39.500000,1105727.805628
40.000000,1119444.371103
40.500000,1131349.314842
41.000000,1141507.703728
41.500000,1149984.604639
42.000000,1156845.084459
42.500000,1162154.210067
43.000000,1165977.048345
43.500000,1168378.666174
44.000000,1169424.130434
44.500000,1169178.508007
45.000000,1167706.865774
45.500000,1165074.270616
46.000000,1161345.789413
46.500000,1156582.814322
47.000000,1150832.038601
47.500000,1144136.480783
48.000000,1136539.159401
48.500000,1128083.092987
49.000000,1118811.300076
49.500000,1108766.799199
50.000000,1097992.608890
50.500000,1086531.747683
51.000000,1074427.234109
51.500000,1061722.086702
52.000000,1048459.323995
52.500000,1034681.964522
53.000000,1020433.026814
53.500000,1005755.529406
54.000000,990692.490830
54.500000,975286.929619
55.000000,959581.864307
55.500000,943620.313425
56.000000,927445.295508
56.500000,911099.829089
57.000000,894626.932700
57.500000,917491.425621
58.000000,1917099.144145
58.500000,844873.849045
59.000000,1541400.190861
59.500000,2057785.494566
60.000000,795522.562852
60.500000,779362.175600
61.000000,763418.506643
61.500000,747734.574514
62.000000,732353.397745
62.500000,717317.994870
63.000000,702671.384422
63.500000,688456.584934
64.000000,674716.614938
64.500000,661494.492969
65.000000,648833.237558
65.500000,636775.867239
66.000000,625365.400545
66.500000,614644.856009
67.000000,956727.590801
67.500000,931012.649057
68.000000,587052.940679
68.500000,579522.270106
69.000000,673710.209892
69.500000,592422.390845
70.000000,449641.702966
70.500000,439648.453182
71.000000,429591.214025
71.500000,419469.985494
72.000000,409284.767588
72.500000,399035.560309
73.000000,388722.363656
73.500000,378345.177629
74.000000,367904.002228
74.500000,357398.837454
75.000000,346829.683305
75.500000,336196.539783
76.000000,325499.406887
76.500000,314738.284617
77.000000,303913.172973
77.500000,293024.071955
78.000000,282070.981563
78.500000,271053.901797
79.000000,259972.832658
79.500000,248827.774145
80.000000,237618.726257
80.500000,226345.688996
81.000000,215008.662361
81.500000,203607.646353
82.000000,192142.640970
82.500000,180613.646213
83.000000,169020.662083
83.500000,157363.688579
84.000000,145642.725700
84.500000,133857.773448
85.000000,122008.831822
85.500000,110095.900823
86.000000,98118.980449
86.500000,86078.070701
87.000000,73973.171580
87.500000,61804.283085
88.000000,49571.405215
88.500000,37274.537972
89.000000,24913.681355
89.500000,12488.835365
90.000000,0.000000
