# Copyright 2020, General Electric Company. All rights reserved. See https://github.com/xcist/code/blob/master/LICENSE
# Spectrum is in unit: photons/cm^2/mAs at 1-m distance

260
0.500000,0.000000
1.000000,0.000000
1.500000,0.000000
2.000000,0.000000
2.500000,0.000000
3.000000,0.000000
3.500000,0.000000
4.000000,0.000000
4.500000,0.000000
5.000000,0.000000
5.500000,0.000000
6.000000,0.000000
6.500000,0.000000
7.000000,0.000000
7.500000,0.000000
8.000000,0.000000
8.500000,0.000000
9.000000,0.000000
9.500000,0.000000
10.000000,0.000000
10.500000,0.000000
11.000000,0.000000
11.500000,0.000000
12.000000,0.000000
12.500000,0.000000
13.000000,0.000000
13.500000,0.000000
14.000000,0.000000
14.500000,0.000000
15.000000,0.000000
15.500000,0.000000
16.000000,0.000000
16.500000,0.000000
17.000000,0.000000
17.500000,0.000000
18.000000,1378.029708
18.500000,4516.250340
19.000000,8843.630261
19.500000,14494.473952
20.000000,21603.085896
20.500000,30303.770573
21.000000,40730.832467
21.500000,53018.576058
22.000000,67301.305829
22.500000,83713.326262
23.000000,102388.941837
23.500000,123462.457037
24.000000,147068.176344
24.500000,173340.404240
25.000000,202413.445206
25.500000,234421.603724
26.000000,269499.184276
26.500000,307701.462546
27.000000,348767.599026
27.500000,392357.725412
28.000000,438131.973399
28.500000,485750.474680
29.000000,534873.360952
29.500000,585160.763908
30.000000,636272.815244
30.500000,687869.646655
31.000000,739611.389836
31.500000,791158.176481
32.000000,842170.138285
32.500000,892348.446222
33.000000,941558.428379
33.500000,989706.452121
34.000000,1036698.884816
34.500000,1082442.093827
35.000000,1126842.446522
35.500000,1169806.310267
36.000000,1211240.052426
36.500000,1251050.040366
37.000000,1289142.641452
37.500000,1325424.223051
38.000000,1359801.152528
38.500000,1392202.551459
39.000000,1422648.558261
39.500000,1451182.065561
40.000000,1477845.965984
40.500000,1502683.152158
41.000000,1525736.516710
41.500000,1547048.952265
42.000000,1566663.351451
42.500000,1584622.606894
43.000000,1600969.611222
43.500000,1615747.257060
44.000000,1628998.437035
44.500000,1640766.043774
45.000000,1651092.969904
45.500000,1660022.108050
46.000000,1667596.350841
46.500000,1673858.498419
47.000000,1678850.980991
47.500000,1682616.136283
48.000000,1685196.302019
48.500000,1686633.815924
49.000000,1686971.015722
49.500000,1686250.239137
50.000000,1684513.823895
50.500000,1681804.107719
51.000000,1678163.428334
51.500000,1673634.123465
52.000000,1668258.530836
52.500000,1662078.988172
53.000000,1655137.833197
53.500000,1647477.403636
54.000000,1639140.037212
54.500000,1630168.071652
55.000000,1620603.844679
55.500000,1610489.694017
56.000000,1599867.957392
56.500000,1588780.972528
57.000000,1577271.077148
57.500000,1757686.173093
58.000000,6702667.567006
58.500000,1540627.305168
59.000000,5035559.598601
59.500000,7643716.489554
60.000000,1501701.496637
60.500000,1488416.683941
61.000000,1475047.662527
61.500000,1461636.770118
62.000000,1448226.344440
62.500000,1434858.723217
63.000000,1421576.244173
63.500000,1408421.245033
64.000000,1395436.063522
64.500000,1382663.037364
65.000000,1370144.504283
65.500000,1357922.802004
66.000000,1346040.268251
66.500000,1334539.240750
67.000000,3196383.963505
67.500000,3097979.747322
68.000000,1302748.572997
68.500000,1293196.947745
69.000000,1953153.345704
69.500000,1443144.326670
70.000000,911142.129233
70.500000,905884.473806
71.000000,900252.853920
71.500000,894261.812464
72.000000,887925.892328
72.500000,881259.636401
73.000000,874277.587572
73.500000,866994.288731
74.000000,859424.282766
74.500000,851582.112566
75.000000,843482.321022
75.500000,835139.451022
76.000000,826568.045456
76.500000,817782.647212
77.000000,808797.799180
77.500000,799628.044250
78.000000,790287.925309
78.500000,780791.985249
79.000000,771154.766957
79.500000,761390.813324
80.000000,751514.667238
80.500000,741540.871588
81.000000,731483.969264
81.500000,721358.503156
82.000000,711179.016151
82.500000,700960.051141
83.000000,690716.151013
83.500000,680461.858656
84.000000,670211.716962
84.500000,659980.268817
85.000000,649782.057113
85.500000,639629.589791
86.000000,629527.235012
86.500000,619477.325991
87.000000,609482.195941
87.500000,599544.178076
88.000000,589665.605611
88.500000,579848.811760
89.000000,570096.129737
89.500000,560409.892756
90.000000,550792.434030
90.500000,541246.086775
91.000000,531773.184205
91.500000,522376.059533
92.000000,513057.045974
92.500000,503818.476741
93.000000,494662.685049
93.500000,485592.004113
94.000000,476608.767146
94.500000,467715.307362
95.000000,458913.957975
